uid,scene,count,rt,order
0,3,5,3686.0,21
0,4,3,2987.0,23
0,6,3,3123.0,25
0,5,3,2851.0,27
0,2,3,3020.0,29
1,6,4,7049.0,21
1,4,3,2943.0,23
1,5,5,3199.0,25
1,3,4,3433.0,27
1,2,2,3255.0,29
2,6,4,3560.0,13
2,1,4,2866.0,15
2,5,5,4273.0,17
2,4,5,2268.0,19
2,3,4,2094.0,21
3,4,3,3732.0,13
3,5,6,2013.0,15
3,6,4,4554.0,17
3,1,4,7716.0,19
3,3,5,5566.0,21
4,6,4,3449.0,13
4,5,5,2303.0,15
4,2,3,2500.0,17
4,1,4,70779.0,19
4,4,3,2131.0,21
5,6,4,3521.0,13
5,5,6,2696.0,15
5,2,3,2449.0,17
5,1,3,2375.0,19
5,4,4,2562.0,21
6,6,5,5102.0,13
6,3,3,4390.0,15
6,1,3,4106.0,17
6,2,2,3569.0,19
6,5,5,7290.0,21
7,3,5,5161.0,13
7,2,3,4081.0,15
7,6,3,4184.0,17
7,1,3,3417.0,19
7,5,5,3788.0,21
8,4,3,3980.0,13
8,1,3,3074.0,15
8,2,3,2500.0,17
8,3,5,2439.0,19
8,6,2,2366.0,21
9,1,4,3169.0,13
9,2,2,2761.0,15
9,4,3,3104.0,17
9,3,4,3158.0,19
9,6,3,2480.0,21
10,5,6,2788.0,13
10,4,3,2331.0,15
10,2,3,3781.0,17
10,3,4,4436.0,19
10,1,2,5070.0,21
11,4,3,3297.0,13
11,2,3,2690.0,15
11,3,4,2601.0,17
11,5,5,2093.0,19
11,1,3,2356.0,21
12,5,3,6277.0,29
12,6,5,4857.0,31
12,4,4,5242.0,33
12,3,6,5800.0,35
12,2,4,5596.0,37
13,5,5,2963.0,13
13,6,4,2910.0,15
13,3,4,7484.0,17
13,4,3,3356.0,19
13,2,4,11748.0,21
14,5,4,4516.0,13
14,6,5,3332.0,15
14,4,3,3927.0,17
14,1,3,3640.0,19
14,3,5,3353.0,21
15,1,2,4214.0,13
15,6,3,3473.0,15
15,5,5,3760.0,17
15,4,3,3508.0,19
15,3,5,3393.0,21
16,5,5,4546.0,13
16,6,4,4987.0,15
16,2,3,3874.0,17
16,1,3,3406.0,19
16,4,3,3309.0,21
17,5,4,3163.0,13
17,2,3,3036.0,15
17,1,2,3280.0,17
17,6,2,3487.0,19
17,4,3,2993.0,21
18,1,4,4496.0,21
18,2,3,20113.0,23
18,3,6,3543.0,25
18,6,5,8795.0,27
18,5,4,2817.0,29
19,2,4,2146.0,13
19,4,4,2562.0,15
19,3,6,2381.0,17
19,1,5,5709.0,19
19,6,4,2431.0,21
20,3,5,2798.0,21
20,2,4,3762.0,23
20,5,5,2178.0,25
20,4,3,2495.0,27
20,1,4,2196.0,29
21,5,6,2884.0,13
21,4,6,2336.0,15
21,2,2,3006.0,17
21,3,4,8301.0,19
21,1,3,2978.0,21
22,6,4,3084.0,13
22,4,3,3367.0,15
22,3,4,3021.0,17
22,5,6,2887.0,19
22,2,3,2602.0,21
23,3,3,3224.0,13
23,4,3,2638.0,15
23,1,2,3693.0,17
23,2,3,3419.0,19
23,6,3,3175.0,21
24,2,5,3219.0,13
24,1,3,3028.0,15
24,3,4,3936.0,17
24,4,3,2494.0,19
24,6,2,2962.0,21
25,5,5,2495.0,13
25,6,4,2264.0,15
25,4,4,2674.0,17
25,3,4,2417.0,19
25,2,3,2832.0,21
26,1,3,3947.0,13
26,5,4,2853.0,15
26,4,3,3462.0,17
26,6,3,4698.0,19
26,3,4,2832.0,21
27,1,3,3542.0,13
27,4,3,2904.0,15
27,6,3,2573.0,17
27,5,6,2574.0,19
27,3,4,2862.0,21
28,5,5,4432.0,13
28,6,5,5133.0,15
28,1,3,4399.0,17
28,2,2,4151.0,19
28,4,4,4700.0,21
29,1,4,2598.0,13
29,2,3,2044.0,15
29,6,3,2608.0,17
29,5,5,2470.0,19
29,4,2,1900.0,21
30,3,4,1922.0,21
30,1,3,2090.0,23
30,2,3,2186.0,25
30,6,3,1599.0,27
30,5,6,1812.0,29
31,2,4,3174.0,13
31,6,4,3535.0,15
31,1,3,4040.0,17
31,3,6,3391.0,19
31,5,5,3270.0,21
32,3,4,3331.0,13
32,2,3,2485.0,15
32,5,5,3345.0,17
32,4,3,2890.0,19
32,1,3,2876.0,21
33,2,3,2527.0,13
33,1,3,2760.0,15
33,5,5,2479.0,17
33,6,3,2520.0,19
33,4,3,2695.0,21
34,2,3,4055.0,13
34,1,3,4175.0,15
34,6,3,3569.0,17
34,3,4,4219.0,19
34,5,4,4595.0,21
35,4,3,3374.0,13
35,6,3,2645.0,15
35,3,4,2510.0,17
35,5,5,3389.0,19
35,2,3,2809.0,21
36,1,2,3408.0,13
36,4,3,2843.0,15
36,2,3,2596.0,17
36,3,5,3261.0,19
36,6,3,2697.0,21
37,3,4,6996.0,13
37,6,5,4058.0,15
37,5,5,4692.0,17
37,4,3,4931.0,19
37,2,2,4584.0,21
38,6,4,4729.0,13
38,5,6,3684.0,15
38,4,3,3254.0,17
38,1,3,4267.0,19
38,3,4,4108.0,21
39,5,6,4323.0,13
39,1,5,3975.0,15
39,4,4,3039.0,17
39,6,4,5963.0,19
39,3,6,4535.0,21
40,5,4,2678.0,13
40,1,4,3444.0,15
40,2,4,2863.0,17
40,6,4,2846.0,19
40,4,4,3083.0,21
41,1,4,3001.0,13
41,4,3,3929.0,15
41,2,3,2719.0,17
41,3,6,3784.0,19
41,6,3,3075.0,21
42,2,4,2408.0,21
42,6,5,1960.0,23
42,3,5,1953.0,25
42,1,3,2859.0,27
42,5,6,2792.0,29
43,4,6,4520.0,13
43,2,4,3044.0,15
43,3,5,2586.0,17
43,5,5,2855.0,19
43,1,3,2238.0,21
44,2,5,4534.0,13
44,3,5,4383.0,15
44,5,5,3953.0,17
44,4,6,3769.0,19
44,1,4,3289.0,21
45,5,5,3241.0,13
45,1,3,2006.0,15
45,2,3,2535.0,17
45,6,4,2573.0,19
45,4,2,3081.0,21
46,3,6,3117.0,29
46,2,3,3275.0,31
46,1,3,3427.0,33
46,6,3,3040.0,35
46,5,5,3179.0,37
47,5,6,3161.0,13
47,3,5,3081.0,15
47,6,3,2746.0,17
47,4,3,2729.0,19
47,2,3,3144.0,21
48,4,6,4798.0,13
48,6,4,2811.0,15
48,3,5,3548.0,17
48,5,3,3225.0,19
48,2,4,3386.0,21
49,6,4,2644.0,13
49,5,5,2627.0,15
49,4,3,2898.0,17
49,1,2,2376.0,19
49,3,6,2262.0,21
50,5,4,4029.0,13
50,4,3,3544.0,15
50,1,3,6022.0,17
50,6,4,4207.0,19
50,3,5,3674.0,21
51,3,4,3649.0,21
51,4,3,4106.0,23
51,2,3,2507.0,25
51,1,3,5843.0,27
51,6,3,2966.0,29
52,4,6,6922.0,13
