uid,scene,grouped,noticed,description,rt,order
0,2,true,false,"",2953.0,30
1,2,false,false,"",2545.0,30
2,3,true,false,"",3240.0,22
3,3,false,false,"",4411.0,22
4,4,true,false,"",5520.0,22
5,4,false,true,The balls often make u-turns and don't actually bounce off the wall to change direction.,7031.0,22
6,5,true,true,I noticed sometimes the balls would head toward the wall but move unnaturally  out of the way.,4983.0,22
7,5,false,false,"",3566.0,22
8,6,true,false,"",3618.0,22
9,6,false,false,"",3189.0,22
10,1,true,false,"",2499.0,22
11,1,false,false,"",7015.0,22
12,2,true,false,"",4556.0,38
13,2,false,false,"",2970.0,22
14,3,true,false,"",2822.0,22
15,3,false,false,"",4455.0,22
16,4,false,false,"",3439.0,22
17,4,true,false,"",1957.0,22
18,5,false,false,"",2212.0,30
19,6,true,false,"",6271.0,22
20,1,true,false,"",1964.0,30
21,1,false,false,"",2057.0,22
22,2,true,false,"",2171.0,22
23,6,true,false,"",4404.0,22
24,6,false,false,"",5503.0,22
25,2,false,false,"",3102.0,22
26,3,true,false,"",5104.0,22
27,3,false,false,"",4313.0,22
28,4,true,true,some bounced before getting to the edge so hard to know if those count,3014.0,22
29,4,false,true,More balls would get closer to the wall and turn around right before they would usually bounce.,4842.0,22
30,5,false,false,"",2754.0,30
31,5,true,false,"",5503.0,22
32,1,true,false,"",5031.0,22
33,4,false,false,"",3342.0,22
34,5,false,false,"",5259.0,22
35,2,true,false,"",2132.0,22
36,6,false,false,"",4022.0,22
37,2,false,false,"",5201.0,22
38,3,true,false,"",4577.0,22
39,3,false,false,"",3109.0,22
40,4,true,true,It was always 4,2294.0,22
41,6,true,false,"",5853.0,22
42,5,true,false,"",2358.0,30
43,1,true,false,"",3300.0,22
44,1,false,false,"",5231.0,22
45,4,false,false,"",2778.0,22
46,5,false,false,"",4050.0,38
47,2,true,false,"",4831.0,22
48,2,false,false,"",2827.0,22
49,3,true,false,"",2632.0,22
50,3,false,false,"",6087.0,22
51,6,true,false,"",4760.0,30
52,6,false,false,"",3115.0,22
53,1,false,false,"",7375.0,30
54,1,true,false,"",3404.0,22
55,5,true,false,"",5698.0,22
56,6,false,false,"",11417.0,22
57,4,true,false,"",3940.0,22
58,2,false,false,"",2519.0,22
59,3,true,false,"",2368.0,22
60,3,false,false,"",3543.0,22
61,4,false,false,"",3335.0,30
62,5,false,false,"",2666.0,30
63,6,true,false,"",2417.0,22
64,5,true,false,"",1379.0,22
65,1,true,false,"",2437.0,22
66,1,false,false,"",4513.0,30
67,2,true,false,"",3084.0,22
68,3,true,false,"",6405.0,30
69,3,false,false,"",6839.0,22
70,4,true,false,"",3610.0,22
71,4,false,false,"",8024.0,22
72,5,false,false,"",3055.0,22
73,6,true,false,"",2779.0,22
74,6,false,false,"",4978.0,22
75,2,false,false,"",5646.0,22
76,5,true,false,"",10175.0,22
77,1,true,false,"",4766.0,22
78,2,true,false,"",3567.0,22
79,3,true,false,"",4918.0,22
80,3,false,false,"",6114.0,22
81,4,true,false,"",9054.0,22
82,4,false,false,"",3996.0,22
83,5,false,false,"",5768.0,22
84,6,true,false,"",3232.0,22
85,1,false,false,"",3140.0,22
86,6,false,false,"",2871.0,22
87,2,false,false,"",1887.0,22
88,1,false,false,"",5143.0,22
89,5,true,false,"",3687.0,22
90,1,true,false,"",4963.0,22
91,4,true,false,"",7384.0,22
92,2,false,false,"",4285.0,22
93,2,true,false,"",3909.0,30
94,6,false,false,"",5932.0,38
95,6,true,false,"",2528.0,22
96,3,true,false,"",8080.0,22
97,3,false,false,"",4919.0,22
98,5,false,false,"",5805.0,22
99,4,false,false,"",5541.0,22
100,1,false,false,"",1546.0,30
101,5,true,false,"",5250.0,22
102,1,true,false,"",5252.0,22
103,2,true,false,"",6127.0,22
104,2,false,false,"",9327.0,22
105,4,true,false,"",6725.0,22
106,6,true,false,"",1732.0,22
107,6,false,false,"",7319.0,22
108,3,true,false,"",2138.0,22
109,3,false,false,"",3742.0,22
110,4,false,false,"",1973.0,22
111,5,false,false,"",2292.0,22
112,1,false,false,"",35690.0,22
113,1,true,false,"",2931.0,22
114,2,false,false,"",3314.0,22
115,5,true,false,"",1701.0,22
116,4,true,true,everything seemed to be circling ,6300.0,22
117,6,false,true,one of the light balls almost bumped into the wall but then it changed course,6760.0,22
118,2,true,false,"",5827.0,22
119,3,true,false,"",3869.0,22
120,3,false,false,"",3010.0,22
121,4,false,false,"",22149.0,22
122,5,false,false,"",5362.0,22
123,6,true,false,"",2653.0,22
124,1,false,false,"",3765.0,22
