uid,scene,count,rt,order
0,3,4,2744.0,13
0,2,3,2594.0,15
0,5,4,2411.0,17
0,4,4,3045.0,19
0,1,3,2878.0,21
1,6,3,4809.0,21
1,4,4,2621.0,23
1,5,5,3161.0,25
1,3,4,3393.0,27
1,2,3,2838.0,29
2,4,4,4398.0,13
2,3,3,4283.0,15
2,5,5,3866.0,17
2,6,3,3932.0,19
2,2,4,3474.0,21
3,6,8,4259.0,13
3,5,3,7405.0,15
3,1,3,5175.0,17
3,4,4,5071.0,19
3,3,4,3793.0,21
4,5,5,1793.0,21
4,1,3,2107.0,23
4,4,3,3143.0,25
4,6,3,2084.0,27
4,3,5,1883.0,29
5,1,3,2123.0,13
5,2,3,2614.0,15
5,6,3,1975.0,17
5,5,4,1796.0,19
5,4,4,2768.0,21
6,5,5,2597.0,13
6,1,3,2903.0,15
6,2,3,2936.0,17
6,6,3,2672.0,19
6,4,7,2863.0,21
7,6,3,2812.0,13
7,2,3,3211.0,15
7,3,3,2025.0,17
7,1,3,2631.0,19
7,5,6,2780.0,21
8,6,3,3010.0,53
8,1,3,3334.0,55
8,2,3,2742.0,57
8,3,5,3133.0,59
8,5,5,3553.0,61
9,3,4,3571.0,13
9,2,3,2442.0,15
9,1,3,3987.0,17
9,4,5,3200.0,19
9,6,3,2281.0,21
10,2,2,3560.0,21
10,1,3,3431.0,23
10,3,5,3218.0,25
10,4,4,2558.0,27
10,6,4,2400.0,29
11,2,3,2979.0,13
11,5,4,2916.0,15
11,3,3,3847.0,17
11,4,4,2654.0,19
11,1,3,2819.0,21
12,6,3,3772.0,13
12,2,3,3406.0,15
12,5,5,3073.0,17
12,1,3,3813.0,19
12,4,4,3459.0,21
13,1,3,6435.0,13
13,5,2,7271.0,15
13,2,2,4434.0,17
13,6,3,4619.0,19
13,4,3,6651.0,21
14,3,3,2913.0,13
14,2,3,2609.0,15
14,1,3,3027.0,17
14,6,3,3089.0,19
14,5,5,3120.0,21
15,4,4,3659.0,13
15,2,3,3576.0,15
15,1,3,3960.0,17
15,3,4,3126.0,19
15,6,6,8509.0,21
16,4,4,4462.0,13
16,1,3,4406.0,15
16,2,3,6252.0,17
16,3,3,4185.0,19
16,6,3,3813.0,21
17,3,4,7565.0,13
17,5,5,4306.0,15
17,2,3,3577.0,17
17,4,5,4006.0,19
17,1,4,4813.0,21
18,3,3,4008.0,21
18,6,3,4127.0,23
18,5,4,4943.0,25
18,4,4,3574.0,27
18,2,3,6098.0,29
19,5,5,2927.0,13
19,3,3,3308.0,15
19,4,4,3261.0,17
19,6,3,2736.0,19
19,2,4,2506.0,21
20,6,3,4137.0,29
20,5,3,4131.0,31
20,1,3,3538.0,33
20,4,4,7602.0,35
20,3,2,3796.0,37
21,6,3,4729.0,13
21,5,4,4223.0,15
21,1,3,4084.0,17
21,4,3,4377.0,19
21,3,5,4211.0,21
22,3,3,4841.0,13
22,2,3,3826.0,15
22,5,4,4459.0,17
22,4,4,4270.0,19
22,1,3,2905.0,21
23,6,3,3624.0,13
23,5,5,3181.0,15
23,2,3,4854.0,17
23,1,3,3509.0,19
23,4,4,3936.0,21
24,1,3,3652.0,13
24,6,3,4788.0,15
24,3,2,2772.0,17
24,2,3,2561.0,19
24,5,5,3000.0,21
25,2,3,3419.0,13
25,3,4,2085.0,15
25,5,5,2147.0,17
25,4,4,2410.0,19
25,1,5,5799.0,21
26,1,3,3498.0,13
26,5,4,2757.0,15
26,6,3,3638.0,17
26,4,4,3438.0,19
26,3,4,14736.0,21
27,5,4,4177.0,13
27,6,3,3299.0,15
27,3,3,3066.0,17
27,4,3,3313.0,19
27,2,3,3361.0,21
28,3,4,3920.0,13
28,5,5,3554.0,15
28,4,4,3967.0,17
28,6,3,3624.0,19
28,2,2,3312.0,21
29,1,3,2747.0,13
29,5,3,2621.0,15
29,6,3,2344.0,17
29,2,2,3662.0,19
29,4,4,2224.0,21
30,4,4,3165.0,21
30,6,3,3844.0,23
30,1,3,4277.0,25
30,5,5,3885.0,27
30,3,5,3148.0,29
31,3,3,2828.0,13
31,1,3,3241.0,15
31,2,3,2577.0,17
31,6,3,2993.0,19
31,5,5,3104.0,21
32,4,4,2611.0,13
32,2,3,2712.0,15
32,3,3,2496.0,17
32,1,3,2196.0,19
32,6,3,2495.0,21
33,4,4,5239.0,13
33,2,3,11201.0,15
33,3,4,5386.0,17
33,5,5,4999.0,19
33,1,3,5702.0,21
34,5,4,2485.0,13
34,3,4,2326.0,15
34,4,4,2025.0,17
34,2,3,10197.0,19
34,1,3,2300.0,21
35,6,3,3397.0,13
35,5,5,3117.0,15
35,3,5,3173.0,17
35,4,4,4200.0,19
35,2,3,3103.0,21
36,3,3,2467.0,13
36,6,3,2867.0,15
36,5,5,2367.0,17
36,4,4,2251.0,19
